automaker,series,year,kilometers_traveled,condition,type,volume,origin,warranty_policy,weight,location,partner,price
Suzuki,Sport / Xipo,2000,5000.0,Đã sử dụng,Tay côn/Moto,100 - 175 cc,Nước khác,Bảo hành hãng,> 50 kg,Đồng Nai,0,18500000.0
Honda,Wave,2006,150.0,Đã sử dụng,Xe số,100 - 175 cc,Nước khác,Bảo hành hãng,> 50 kg,Đồng Nai,0,8800000.0
Yamaha,R,2020,6500.0,Đã sử dụng,Tay côn/Moto,100 - 175 cc,Đang cập nhật,Bảo hành hãng,> 50 kg,Hà Nội,0,19600000.0
Yamaha,Janus,2018,15.0,Đã sử dụng,Tay ga,,Đang cập nhật,Bảo hành hãng,> 50 kg,Tp Hồ Chí Minh,0,19500000.0
Honda,Future,2019,1.0,Đã sử dụng,Xe số,,Việt Nam,Bảo hành hãng,> 50 kg,Đồng Nai,0,25000000.0
Honda,Vision,2022,1500.0,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,Bảo hành hãng,> 50 kg,Hà Nội,0,20500000.0
Yamaha,Exciter,2020,5.0,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,Bảo hành hãng,> 50 kg,Tp Hồ Chí Minh,1,28000000.0
Hãng khác,Dòng khác,2009,20.0,Đã sử dụng,Xe số,50 - 100 cc,Đang cập nhật,Bảo hành hãng,> 50 kg,Tp Hồ Chí Minh,0,3200000.0
Honda,Air Blade,2015,1450.0,Đã sử dụng,Tay ga,,Việt Nam,Bảo hành hãng,> 50 kg,Nghệ An,1,14500000.0
Honda,Wave,2022,1099.0,Đã sử dụng,Xe số,100 - 175 cc,Đang cập nhật,Bảo hành hãng,> 50 kg,Hà Nội,0,12500000.0
Honda,SH,2007,25000.0,Đã sử dụng,Tay ga,,Đang cập nhật,Bảo hành hãng,> 50 kg,Tp Hồ Chí Minh,0,50000000.0
Yamaha,Nouvo,2010,40.0,Đã sử dụng,Tay ga,,Đang cập nhật,Bảo hành hãng,> 50 kg,Tp Hồ Chí Minh,1,5300000.0
Yamaha,Exciter,2013,123.0,Đã sử dụng,Tay côn/Moto,,Đang cập nhật,Bảo hành hãng,> 50 kg,An Giang,0,26500000.0
Yamaha,TFX,2021,6000.0,Đã sử dụng,Tay côn/Moto,100 - 175 cc,Thái Lan,Bảo hành hãng,> 50 kg,Hà Nội,0,26500000.0
Honda,PCX,2017,6000.0,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,Bảo hành hãng,> 50 kg,Hà Nội,0,16500000.0
Honda,SH,2020,11125.0,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,Bảo hành hãng,> 50 kg,Tp Hồ Chí Minh,0,85000000.0
Honda,Vario,2022,5.0,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,Bảo hành hãng,> 50 kg,Tp Hồ Chí Minh,1,41500000.0
Honda,Winner,2018,5.0,Đã sử dụng,Tay côn/Moto,100 - 175 cc,Đang cập nhật,Bảo hành hãng,> 50 kg,Tp Hồ Chí Minh,1,19000000.0
Yamaha,Exciter,2020,5.0,Đã sử dụng,Tay côn/Moto,100 - 175 cc,Đang cập nhật,Bảo hành hãng,> 50 kg,Tp Hồ Chí Minh,1,27500000.0
Yamaha,Luvias,2014,30000.0,Đã sử dụng,Tay ga,,Đang cập nhật,Bảo hành hãng,> 50 kg,Tp Hồ Chí Minh,0,10500000.0
Yamaha,Jupiter,2022,6000.0,Đã sử dụng,Xe số,100 - 175 cc,Đang cập nhật,Bảo hành hãng,> 50 kg,Hà Nội,0,12500000.0
Honda,SH,2023,4500.0,Đã sử dụng,Tay ga,100 - 175 cc,Việt Nam,Bảo hành hãng,> 50 kg,Tp Hồ Chí Minh,0,90000000.0
Honda,Vision,2022,5.0,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,Bảo hành hãng,> 50 kg,Tp Hồ Chí Minh,1,24000000.0
Yamaha,Exciter,2016,20000.0,Đã sử dụng,Tay côn/Moto,100 - 175 cc,Đang cập nhật,Bảo hành hãng,> 50 kg,Bình Dương,0,15900000.0
SYM,Star,2020,3600.0,Đã sử dụng,Tay côn/Moto,100 - 175 cc,Việt Nam,Bảo hành hãng,> 50 kg,Hà Nội,0,12500000.0
Piaggio,Liberty,2009,20000.0,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,Bảo hành hãng,> 50 kg,Hà Nội,0,6800000.0
Honda,Wave,2006,999999.0,Đã sử dụng,Xe số,Dưới 50 cc,Đang cập nhật,Bảo hành hãng,> 50 kg,An Giang,0,4800000.0
Honda,Cub,2021,1280.0,Đã sử dụng,Xe số,50 - 100 cc,Đang cập nhật,Bảo hành hãng,> 50 kg,Hà Nội,0,8000000.0
Yamaha,Luvias,2013,1.0,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,Bảo hành hãng,> 50 kg,Tp Hồ Chí Minh,0,10800000.0
Yamaha,Exciter,2013,1.0,Đã sử dụng,Tay côn/Moto,100 - 175 cc,Đang cập nhật,Bảo hành hãng,> 50 kg,Tp Hồ Chí Minh,0,21800000.0
Yamaha,Sirius,2022,4500.0,Đã sử dụng,Xe số,100 - 175 cc,Đang cập nhật,Bảo hành hãng,> 50 kg,Hà Nội,0,10500000.0
Honda,SH,2016,5.0,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,Bảo hành hãng,> 50 kg,Tp Hồ Chí Minh,1,48000000.0
Piaggio,Zip,2014,50000.0,Đã sử dụng,Tay ga,100 - 175 cc,Việt Nam,Bảo hành hãng,> 50 kg,Hà Nội,0,7200000.0
Honda,SH Mode,2019,2000.0,Đã sử dụng,Tay ga,100 - 175 cc,Việt Nam,Bảo hành hãng,> 50 kg,Hà Nội,0,31000000.0
GPX,Demon 150GR,2021,3000.0,Đã sử dụng,Tay côn/Moto,100 - 175 cc,Thái Lan,Bảo hành hãng,> 50 kg,Đà Nẵng,0,26000000.0
Honda,Wave,2018,25.0,Đã sử dụng,Tay ga,50 - 100 cc,Đang cập nhật,Bảo hành hãng,> 50 kg,Tp Hồ Chí Minh,0,9300000.0
Yamaha,Nozza,2013,87.0,Đã sử dụng,Tay ga,,Đang cập nhật,Bảo hành hãng,> 50 kg,Nghệ An,1,8700000.0
Honda,KPR,2023,560.0,Đã sử dụng,Tay côn/Moto,100 - 175 cc,Thái Lan,Bảo hành hãng,> 50 kg,Hà Nội,0,16800000.0
Honda,Air Blade,2018,30.0,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,Bảo hành hãng,> 50 kg,Thừa Thiên Huế,0,24000000.0
Honda,PCX,2017,15000.0,Đã sử dụng,Tay ga,,Đang cập nhật,Bảo hành hãng,> 50 kg,Tp Hồ Chí Minh,0,36000000.0
Kymco,Candy Hi,2018,20000.0,Đã sử dụng,Tay ga,50 - 100 cc,Đài Loan,Bảo hành hãng,> 50 kg,Tp Hồ Chí Minh,0,14300000.0
BMW,Dòng khác,2012,9999.0,Đã sử dụng,Xe số,Dưới 50 cc,Đang cập nhật,Bảo hành hãng,> 50 kg,Lâm Đồng,0,4800000.0
Yamaha,Exciter,2016,20000.0,Đã sử dụng,Tay côn/Moto,100 - 175 cc,Đang cập nhật,Bảo hành hãng,> 50 kg,Tp Hồ Chí Minh,0,15900000.0
Honda,Dòng khác,2022,10000.0,Đã sử dụng,Tay côn/Moto,100 - 175 cc,Đang cập nhật,Bảo hành hãng,> 50 kg,Đà Nẵng,0,15000000.0
Yamaha,Nouvo,2010,3456.0,Đã sử dụng,Tay ga,100 - 175 cc,Việt Nam,Bảo hành hãng,> 50 kg,Hải Phòng,0,4000000.0
Honda,Wave,2020,5.0,Đã sử dụng,Xe số,100 - 175 cc,Đang cập nhật,Bảo hành hãng,> 50 kg,Tp Hồ Chí Minh,1,14000000.0
Honda,Wave,2013,2600.0,Đã sử dụng,Xe số,100 - 175 cc,Đang cập nhật,Bảo hành hãng,> 50 kg,Hà Nội,0,7500000.0
Honda,Cub,1998,55558.0,Đã sử dụng,Xe số,50 - 100 cc,Nhật Bản,Bảo hành hãng,> 50 kg,Tp Hồ Chí Minh,0,8500000.0
Honda,Future,2011,500000.0,Đã sử dụng,Xe số,100 - 175 cc,Việt Nam,Bảo hành hãng,> 50 kg,Tp Hồ Chí Minh,0,20000000.0
Honda,Wave,2014,28.0,Đã sử dụng,Xe số,50 - 100 cc,Đang cập nhật,Bảo hành hãng,> 50 kg,Tp Hồ Chí Minh,0,9800000.0
Honda,Lead,2011,870.0,Đã sử dụng,Tay ga,,Việt Nam,Bảo hành hãng,> 50 kg,Nghệ An,1,8700000.0
Honda,Vision,2019,27000.0,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,Bảo hành hãng,> 50 kg,Tp Hồ Chí Minh,0,24500000.0
Honda,PCX,2018,15000.0,Đã sử dụng,Tay ga,,Đang cập nhật,Bảo hành hãng,> 50 kg,Tp Hồ Chí Minh,0,36000000.0
Honda,Air Blade,2015,48000.0,Đã sử dụng,Tay ga,100 - 175 cc,Việt Nam,Bảo hành hãng,> 50 kg,Tp Hồ Chí Minh,0,14000000.0
Honda,Winner X,2020,30000.0,Đã sử dụng,Tay côn/Moto,Trên 175 cc,Đang cập nhật,Bảo hành hãng,> 50 kg,Tp Hồ Chí Minh,0,18900000.0
Honda,Lead,2015,5.0,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,Bảo hành hãng,> 50 kg,Tp Hồ Chí Minh,1,18500000.0
Honda,PCX,2015,10.0,Đã sử dụng,Tay ga,100 - 175 cc,Việt Nam,Bảo hành hãng,> 50 kg,Tp Hồ Chí Minh,0,25500000.0
Honda,Citi,1999,35000.0,Đã sử dụng,Xe số,100 - 175 cc,Đang cập nhật,Bảo hành hãng,> 50 kg,Tp Hồ Chí Minh,0,2700000.0
Honda,PCX,2012,10.0,Đã sử dụng,Tay ga,100 - 175 cc,Việt Nam,Bảo hành hãng,> 50 kg,Tp Hồ Chí Minh,0,18300000.0
Honda,SH,2021,5.0,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,Bảo hành hãng,> 50 kg,Tp Hồ Chí Minh,1,70000000.0
Honda,Wave,2019,10.0,Đã sử dụng,Xe số,100 - 175 cc,Việt Nam,Bảo hành hãng,> 50 kg,Tp Hồ Chí Minh,0,12000000.0
Yamaha,Jupiter,2010,68.0,Đã sử dụng,Xe số,,Đang cập nhật,Bảo hành hãng,> 50 kg,Nghệ An,1,6800000.0
Yamaha,Nvx,2020,10000.0,Đã sử dụng,Tay ga,,Đang cập nhật,Bảo hành hãng,> 50 kg,Tp Hồ Chí Minh,0,28500000.0
Yamaha,Nouvo,2010,45.0,Đã sử dụng,Tay ga,,Đang cập nhật,Bảo hành hãng,> 50 kg,Tp Hồ Chí Minh,1,3200000.0
Honda,Future,2021,20000.0,Đã sử dụng,Xe số,100 - 175 cc,Đang cập nhật,Bảo hành hãng,> 50 kg,Cần Thơ,0,25500000.0
Suzuki,Sport / Xipo,2000,12345.0,Đã sử dụng,Tay côn/Moto,,Đang cập nhật,Bảo hành hãng,> 50 kg,Đồng Nai,0,15500000.0
Honda,Lead,2022,5000.0,Đã sử dụng,Tay ga,,Đang cập nhật,Bảo hành hãng,> 50 kg,Tp Hồ Chí Minh,0,40800000.0
Yamaha,MT,2022,10504.0,Đã sử dụng,Tay côn/Moto,,Đang cập nhật,Bảo hành hãng,> 50 kg,Tp Hồ Chí Minh,0,99000000.0
Honda,CB,2021,5800.0,Đã sử dụng,Tay côn/Moto,Trên 175 cc,Thái Lan,Bảo hành hãng,> 50 kg,Tp Hồ Chí Minh,0,89000000.0
Honda,Dream,2006,50000.0,Đã sử dụng,Xe số,100 - 175 cc,Hàn Quốc,Bảo hành hãng,> 50 kg,Tp Hồ Chí Minh,0,4000000.0
Honda,Winner,2018,20000.0,Đã sử dụng,Tay côn/Moto,100 - 175 cc,Đang cập nhật,Bảo hành hãng,> 50 kg,Tp Hồ Chí Minh,0,15900000.0
Honda,Air Blade,2008,1234.0,Đã sử dụng,Tay ga,,Đang cập nhật,Bảo hành hãng,> 50 kg,Tp Hồ Chí Minh,0,17800000.0
Yamaha,Exciter,2018,6000.0,Đã sử dụng,Tay côn/Moto,,Đang cập nhật,Bảo hành hãng,> 50 kg,Hà Nội,1,16800000.0
Honda,Lead,2020,22000.0,Đã sử dụng,Tay ga,,Đang cập nhật,Bảo hành hãng,> 50 kg,Tp Hồ Chí Minh,0,29500000.0
Piaggio,Liberty,2013,5.0,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,Bảo hành hãng,> 50 kg,Tp Hồ Chí Minh,1,12500000.0
Honda,SH,2018,9000.0,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,Bảo hành hãng,> 50 kg,Hà Nội,1,69500000.0
Honda,Dylan,2005,23000.0,Đã sử dụng,Tay ga,100 - 175 cc,Việt Nam,Bảo hành hãng,> 50 kg,Bà Rịa - Vũng Tàu,0,13500000.0
Honda,SH Mode,2017,16000.0,Đã sử dụng,Tay ga,,Đang cập nhật,Bảo hành hãng,> 50 kg,Tp Hồ Chí Minh,0,42000000.0
Suzuki,Hayate,2012,40.0,Đã sử dụng,Tay ga,,Đang cập nhật,Bảo hành hãng,> 50 kg,Tp Hồ Chí Minh,1,6300000.0
Honda,Vision,2016,14000.0,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,Bảo hành hãng,> 50 kg,Cần Thơ,0,17200000.0
Hãng khác,Dòng khác,2009,30000.0,Đã sử dụng,Xe số,100 - 175 cc,Hàn Quốc,Bảo hành hãng,> 50 kg,Tp Hồ Chí Minh,0,3200000.0
Benelli,TNT,2018,17000.0,Đã sử dụng,Tay côn/Moto,100 - 175 cc,Đang cập nhật,Bảo hành hãng,> 50 kg,Tp Hồ Chí Minh,0,16800000.0
SYM,Bonus,1997,10000.0,Đã sử dụng,Tay côn/Moto,100 - 175 cc,Đang cập nhật,Bảo hành hãng,> 50 kg,Tp Hồ Chí Minh,0,5500000.0
Yamaha,Exciter,2013,123.0,Đã sử dụng,Tay côn/Moto,,Đang cập nhật,Bảo hành hãng,> 50 kg,An Giang,0,15500000.0
Benelli,TNT,2018,19000.0,Đã sử dụng,Tay côn/Moto,100 - 175 cc,Đang cập nhật,Bảo hành hãng,> 50 kg,Tp Hồ Chí Minh,0,18800000.0
Benelli,TNT,2018,20.0,Đã sử dụng,Tay côn/Moto,100 - 175 cc,Đang cập nhật,Bảo hành hãng,> 50 kg,Tp Hồ Chí Minh,0,15800000.0
MV Agusta,Dòng khác,2019,6000.0,Đã sử dụng,Tay côn/Moto,100 - 175 cc,Đang cập nhật,Bảo hành hãng,> 50 kg,Tp Hồ Chí Minh,0,17800000.0
Yamaha,Sirius,2016,31121.0,Đã sử dụng,Xe số,50 - 100 cc,Hàn Quốc,Bảo hành hãng,> 50 kg,Tp Hồ Chí Minh,0,7900000.0
Honda,Lead,2019,18000.0,Đã sử dụng,Tay ga,,Đang cập nhật,Bảo hành hãng,> 50 kg,Tp Hồ Chí Minh,0,28500000.0
Yamaha,Exciter,2020,11.0,Đã sử dụng,Tay côn/Moto,,Đang cập nhật,Bảo hành hãng,> 50 kg,Vĩnh Long,0,22500000.0
Honda,SH,2018,56000.0,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,Bảo hành hãng,> 50 kg,Tp Hồ Chí Minh,0,68388388.0
Honda,Air Blade,2017,21000.0,Đã sử dụng,Tay ga,100 - 175 cc,Việt Nam,Bảo hành hãng,> 50 kg,Tp Hồ Chí Minh,0,24500000.0
Yamaha,Exciter,2018,10000.0,Đã sử dụng,Tay côn/Moto,,Đang cập nhật,Bảo hành hãng,> 50 kg,Hà Nội,1,17800000.0
Honda,PCX,2014,22000.0,Đã sử dụng,Tay ga,100 - 175 cc,Việt Nam,Bảo hành hãng,> 50 kg,Hà Nội,1,29000000.0
Honda,Wave,2022,4000.0,Đã sử dụng,Xe số,100 - 175 cc,Thái Lan,Bảo hành hãng,> 50 kg,Đồng Nai,0,62000000.0
Honda,SH,2017,21000.0,Đã sử dụng,Tay ga,,Đang cập nhật,Bảo hành hãng,> 50 kg,Tp Hồ Chí Minh,0,60000000.0
SYM,Attila,2010,40.0,Đã sử dụng,Tay ga,,Đang cập nhật,Bảo hành hãng,> 50 kg,Tp Hồ Chí Minh,1,4800000.0
Yamaha,Exciter,2017,25000.0,Đã sử dụng,Tay côn/Moto,,Đang cập nhật,Bảo hành hãng,> 50 kg,Long An,0,17800000.0
Honda,Winner,2017,1.0,Đã sử dụng,Tay côn/Moto,100 - 175 cc,Việt Nam,Bảo hành hãng,> 50 kg,Tp Hồ Chí Minh,0,23500000.0
Honda,Winner X,2021,28000.0,Đã sử dụng,Tay côn/Moto,,Đang cập nhật,Bảo hành hãng,> 50 kg,Đồng Tháp,0,1000000.0
Honda,Vario,2020,18000.0,Đã sử dụng,Tay ga,,Đang cập nhật,Bảo hành hãng,> 50 kg,Tp Hồ Chí Minh,0,37500000.0
SYM,Shark,2011,80000.0,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,Bảo hành hãng,> 50 kg,Đà Nẵng,0,4000000.0
Honda,Vario,2023,5.0,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,Bảo hành hãng,> 50 kg,Tp Hồ Chí Minh,1,40500000.0
BMW,C400X,2012,12000.0,Đã sử dụng,Xe số,,Đang cập nhật,Bảo hành hãng,> 50 kg,Hà Nội,1,4500000.0
Kawasaki,W175,2021,8.0,Đã sử dụng,Tay côn/Moto,Trên 175 cc,Đang cập nhật,Bảo hành hãng,> 50 kg,Tp Hồ Chí Minh,1,52800000.0
Suzuki,Sport / Xipo,1997,10000.0,Đã sử dụng,Tay côn/Moto,100 - 175 cc,Việt Nam,Bảo hành hãng,> 50 kg,Cần Thơ,0,40000000.0
Honda,Vario,2020,16000.0,Đã sử dụng,Tay ga,,Đang cập nhật,Bảo hành hãng,> 50 kg,Tp Hồ Chí Minh,0,37500000.0
Yamaha,Exciter,2018,7000.0,Đã sử dụng,Tay côn/Moto,,Việt Nam,Bảo hành hãng,> 50 kg,Hà Nội,1,16800000.0
Yamaha,Nouvo,2011,22000.0,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,Bảo hành hãng,> 50 kg,Hà Nội,1,6800000.0
Honda,Wave,2011,5.0,Đã sử dụng,Xe số,100 - 175 cc,Đang cập nhật,Bảo hành hãng,> 50 kg,Tp Hồ Chí Minh,1,10000000.0
Yamaha,Sirius,2015,5.0,Đã sử dụng,Xe số,100 - 175 cc,Đang cập nhật,Bảo hành hãng,> 50 kg,Tp Hồ Chí Minh,1,10500000.0
Honda,Vision,2020,5.0,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,Bảo hành hãng,> 50 kg,Tp Hồ Chí Minh,1,21500000.0
Honda,Future,2022,11000.0,Đã sử dụng,Xe số,,Đang cập nhật,Bảo hành hãng,> 50 kg,Tp Hồ Chí Minh,0,27500000.0
Yamaha,Yass,2019,23000.0,Đã sử dụng,Tay côn/Moto,,Thái Lan,Bảo hành hãng,> 50 kg,Tiền Giang,0,65000000.0
Honda,SH,2022,13500.0,Đã sử dụng,Tay ga,Trên 175 cc,Thái Lan,Bảo hành hãng,> 50 kg,Tp Hồ Chí Minh,0,115000000.0
SYM,Attila,2012,21345.0,Đã sử dụng,Tay ga,50 - 100 cc,Đang cập nhật,Bảo hành hãng,> 50 kg,Tp Hồ Chí Minh,0,3900000.0
Honda,Wave,2023,1000.0,Đã sử dụng,Xe số,100 - 175 cc,Việt Nam,Bảo hành hãng,> 50 kg,Hà Nội,0,8600000.0
Yamaha,Exciter,2019,12000.0,Đã sử dụng,Tay côn/Moto,,Đang cập nhật,Bảo hành hãng,> 50 kg,Đồng Nai,0,22500000.0
Honda,Vario,2023,,Mới,Tay ga,100 - 175 cc,Đang cập nhật,Bảo hành hãng,> 50 kg,Tp Hồ Chí Minh,0,45500000.0
Honda,Vision,2017,30.0,Đã sử dụng,Tay ga,,Đang cập nhật,Bảo hành hãng,> 50 kg,Tp Hồ Chí Minh,1,16800000.0
Yamaha,Luvias,2011,50000.0,Đã sử dụng,Tay ga,100 - 175 cc,Việt Nam,Bảo hành hãng,> 50 kg,Đồng Nai,0,6000000.0
Yamaha,Exciter,2018,5.0,Đã sử dụng,Tay côn/Moto,100 - 175 cc,Đang cập nhật,Bảo hành hãng,> 50 kg,Tp Hồ Chí Minh,1,20500000.0
Honda,Air Blade,2022,6000.0,Đã sử dụng,Tay ga,100 - 175 cc,Nhật Bản,Bảo hành hãng,> 50 kg,Kiên Giang,0,30500000.0
Yamaha,Exciter,2012,1.0,Đã sử dụng,Tay côn/Moto,100 - 175 cc,Đang cập nhật,Bảo hành hãng,> 50 kg,Tp Hồ Chí Minh,1,23900000.0
Yamaha,Sirius,2013,15000.0,Đã sử dụng,Xe số,100 - 175 cc,Đang cập nhật,Bảo hành hãng,> 50 kg,Hà Nội,0,4200000.0
Honda,Vario,2016,5.0,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,Bảo hành hãng,> 50 kg,Tp Hồ Chí Minh,1,43000000.0
Piaggio,Vespa,2020,8000.0,Đã sử dụng,Tay ga,100 - 175 cc,Việt Nam,Bảo hành hãng,> 50 kg,Đồng Nai,0,55000000.0
Yamaha,Exciter,2018,6000.0,Đã sử dụng,Tay côn/Moto,,Đang cập nhật,Bảo hành hãng,> 50 kg,Hà Nội,1,18800000.0
Honda,Vision,2015,123.0,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,Bảo hành hãng,> 50 kg,An Giang,0,17900000.0
Honda,Winner,2019,5.0,Đã sử dụng,Tay côn/Moto,100 - 175 cc,Đang cập nhật,Bảo hành hãng,> 50 kg,Tp Hồ Chí Minh,1,20000000.0
Honda,Wave,2015,25000.0,Đã sử dụng,Xe số,100 - 175 cc,Đang cập nhật,Bảo hành hãng,> 50 kg,Bình Dương,0,8900000.0
Bazan,Dream,2020,99.0,Đã sử dụng,Xe số,Không biết rõ,Ấn Độ,Bảo hành hãng,> 50 kg,Đồng Nai,0,2200000.0
Honda,Vision,2018,1000.0,Đã sử dụng,Tay ga,100 - 175 cc,Nhật Bản,Bảo hành hãng,> 50 kg,Hà Nội,0,8800000.0
Honda,SH,2017,13750.0,Đã sử dụng,Tay ga,,Đang cập nhật,Bảo hành hãng,> 50 kg,Tp Hồ Chí Minh,0,60000000.0
Honda,Wave,2009,40.0,Đã sử dụng,Xe số,,Đang cập nhật,Bảo hành hãng,> 50 kg,Tp Hồ Chí Minh,1,7900000.0
Honda,Vario,2019,33000.0,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,Bảo hành hãng,> 50 kg,Bình Định,0,30500000.0
Honda,Vision,2023,7000.0,Đã sử dụng,Tay ga,100 - 175 cc,Việt Nam,Bảo hành hãng,> 50 kg,Hà Nội,0,30000000.0
Honda,Vision,2018,12345.0,Đã sử dụng,Tay ga,,Đang cập nhật,Bảo hành hãng,> 50 kg,Đồng Nai,0,21800000.0
Suzuki,Satria,2021,20000.0,Đã sử dụng,Tay côn/Moto,100 - 175 cc,Đang cập nhật,Bảo hành hãng,> 50 kg,Tp Hồ Chí Minh,0,26000000.0
Yamaha,Exciter,2019,1000.0,Đã sử dụng,Tay côn/Moto,,Đang cập nhật,Bảo hành hãng,> 50 kg,Hà Nội,1,17800000.0
Yamaha,Janus,2019,13000.0,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,Bảo hành hãng,> 50 kg,Hà Nội,1,17700000.0
Honda,Vario,2021,6000.0,Đã sử dụng,Tay ga,100 - 175 cc,Việt Nam,Bảo hành hãng,> 50 kg,Tp Hồ Chí Minh,0,39000000.0
Yamaha,Nozza,2014,5.0,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,Bảo hành hãng,> 50 kg,Tp Hồ Chí Minh,1,10000000.0
Honda,Vision,2014,5.0,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,Bảo hành hãng,> 50 kg,Tp Hồ Chí Minh,1,12500000.0
Honda,Vario,2021,45000.0,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,Bảo hành hãng,> 50 kg,Long An,0,30000000.0
Piaggio,Vespa,2023,10000.0,Đã sử dụng,Tay ga,,Đang cập nhật,Bảo hành hãng,> 50 kg,Hà Nội,1,15000000.0
Honda,Lead,2018,15000.0,Đã sử dụng,Tay ga,100 - 175 cc,Nhật Bản,Bảo hành hãng,> 50 kg,Hà Nội,0,4800000.0
Honda,Wave,2022,,Mới,Xe số,100 - 175 cc,Đang cập nhật,Bảo hành hãng,> 50 kg,Tp Hồ Chí Minh,0,20000000.0
Honda,Vision,2016,,Đã sử dụng,Tay ga,100 - 175 cc,Việt Nam,Bảo hành hãng,> 50 kg,Tp Hồ Chí Minh,0,21500000.0
Honda,SH,2018,1.0,Đã sử dụng,Tay ga,,Đang cập nhật,Bảo hành hãng,> 50 kg,Đà Nẵng,1,53500000.0
SYM,Attila,2020,8000.0,Đã sử dụng,Tay ga,50 - 100 cc,Đài Loan,Bảo hành hãng,> 50 kg,Tp Hồ Chí Minh,0,18500000.0
Hãng khác,Dòng khác,2006,55555.0,Đã sử dụng,Xe số,,Đang cập nhật,Bảo hành hãng,> 50 kg,Cần Thơ,0,3200000.0
Honda,Winner,2019,1.0,Đã sử dụng,Tay côn/Moto,100 - 175 cc,Đang cập nhật,Bảo hành hãng,> 50 kg,Tp Hồ Chí Minh,1,23900000.0
Honda,SH,2023,900.0,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,Bảo hành hãng,> 50 kg,Hà Nội,1,82000000.0
Honda,Sonic,2020,18000.0,Đã sử dụng,Tay côn/Moto,100 - 175 cc,Đang cập nhật,Bảo hành hãng,> 50 kg,Tp Hồ Chí Minh,1,37900000.0
Honda,Cub,1999,99000.0,Đã sử dụng,Xe số,Dưới 50 cc,Nhật Bản,Bảo hành hãng,> 50 kg,Bình Dương,0,8500000.0
SYM,Attila,2009,123456.0,Đã sử dụng,Tay ga,,Việt Nam,Bảo hành hãng,> 50 kg,Tp Hồ Chí Minh,0,2300000.0
Honda,SH,2016,2345.0,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,Bảo hành hãng,> 50 kg,Nam Định,0,39500000.0
Honda,SH,2014,1.0,Đã sử dụng,Tay ga,,Đang cập nhật,Bảo hành hãng,> 50 kg,Đà Nẵng,1,33500000.0
Yamaha,Sirius,2008,30000.0,Đã sử dụng,Xe số,100 - 175 cc,Việt Nam,Bảo hành hãng,> 50 kg,Hải Phòng,0,6500000.0
Honda,Wave,2019,70000.0,Đã sử dụng,Xe số,,Đang cập nhật,Bảo hành hãng,> 50 kg,Tp Hồ Chí Minh,0,9500000.0
Honda,Air Blade,2017,18000.0,Đã sử dụng,Tay ga,100 - 175 cc,Việt Nam,Bảo hành hãng,> 50 kg,Tp Hồ Chí Minh,1,22500000.0
Piaggio,Vespa,2016,10000.0,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,Bảo hành hãng,> 50 kg,Hải Dương,0,26000000.0
Honda,Winner,2019,6000.0,Đã sử dụng,Tay côn/Moto,,Việt Nam,Bảo hành hãng,> 50 kg,Hà Nội,1,14800000.0
Yamaha,Jupiter,2015,5.0,Đã sử dụng,Xe số,100 - 175 cc,Đang cập nhật,Bảo hành hãng,> 50 kg,Tp Hồ Chí Minh,1,13000000.0
Honda,Future,2000,50000.0,Đã sử dụng,Xe số,100 - 175 cc,Đang cập nhật,Bảo hành hãng,> 50 kg,Lâm Đồng,0,33000000.0
